irn,leaid,district,fb_create_date,fb_create_month,fb_create_year,
48496,3904849,"Highland Local SD, Medina",10,7,2015,
47985,3904798,"Johnstown-Monroe Local SD, Licking",10,7,2015,
47191,3904719,"Kenston Local SD, Geauga",15,7,2015,
49353,3904935,"Leipsic Local SD, Putnam",13,5,2015,
47449,3904744,"Liberty Benton Local SD, Hancock",6,9,2015,
44230,3904423,"Lockland City SD, Hamilton",15,4,2015,
48272,3904827,"Madison-Plains Local SD, Madison",2,9,2015,
45831,3904583,"Mapleton Local SD, Ashland",24,1,2015,
44321,3910019,"Marietta City SD, Washington",4,8,2015,
49882,3904988,"Marlington Local SD, Stark",21,9,2015,
50633,3905063,"Millcreek-West Unity Local S, Williams",22,9,2015,
46995,3904699,"New Albany-Plain Local SD, Franklin",21,12,2015,
46250,3904625,"Northeastern Local SD, Clark",16,11,2015,
44610,3904461,"Orrville City SD, Wayne",10,7,2015,
49510,3904951,"Paint Valley Local SD, Ross",13,8,2015,
48421,3904842,"Pleasant Local SD, Marion",22,8,2015,
44685,3904468,"Ravenna City SD, Portage",1,9,2015,
45591,3910028,"Rittman Ex Vill SD, Wayne",22,12,2015,
47738,3904773,"South Central Local SD, Huron",24,3,2015,
47381,3904738,"Southwest Local SD, Hamilton",5,3,2015,
49239,3904923,"Streetsboro City SD, Portage",2,10,2015,
46201,3904620,"Triad Local SD, Champaign",21,7,2015,
45054,3904505,"West Carrollton City SD, Montgomery",28,7,2015,
45674,3904567,"Yellow Springs Ex Vill SD, Greene",27,9,2015,
45906,3904590,"Alexander Local SD, Athens",1,12,2016,
48116,3904811,"Avon Local SD, Lorain",23,7,2016,
46425,3904642,"Beaver Local SD, Columbiana",4,7,2016,
50096,3905009,"Bloomfield-Mespo Local SD, Trumbull",12,1,2016,
47613,3904761,"Bright Local SD, Highland",30,11,2016,
43653,3904365,"Brooklyn City SD, Cuyahoga",8,1,2016,
47175,3904717,"Cardinal Local SD, Geauga",4,1,2016,
50542,3905054,"Dalton Local SD, Wayne",2,12,2016,
43927,3904392,"East Palestine City SD, Columbiana",14,3,2016,
47068,3904706,"Fayette Local SD, Fulton",27,6,2016,
48751,3904875,"Huber Heights City SD, Montgomery",29,1,2016,
47993,3904799,"Lakewood Local SD, Licking",19,10,2016,
44487,3904448,"New Philadelphia City SD, Tuscarawas",12,1,2016,
44495,3904449,"Niles City SD, Trumbull",12,10,2016,
50575,3910033,"Northwestern Local SD, Wayne",29,9,2016,
44552,3904455,"Norton City SD, Summit",4,5,2016,
44594,3904459,"Oberlin City SD, Lorain",15,3,2016,
46573,3904657,"Olmsted Falls City SD, Cuyahoga",19,8,2016,
45575,3904557,"Paulding Ex Vill SD, Paulding",12,12,2016,
46813,3904681,"Perkins Local SD, Erie",5,8,2016,
47506,3904750,"Ridgemont Local SD, Hardin",2,9,2016,
46078,3904607,"Ripley-Union-Lewis Local SD, Brown",20,9,2016,
49213,3904921,"Rootstown Local SD, Portage",1,12,2016,
48363,3904836,"South Range Local SD, Mahoning",14,10,2016,
50062,3905006,"Springfield Local SD, Summit",4,2,2016,
48652,3904865,"Switzerland Of Ohio Local SD, Monroe",2,11,2016,
49957,3904995,"Tuslaw Local SD, Stark",27,7,2016,
47464,3910001,"Van Buren Local SD, Hancock",11,7,2016,
45062,3904506,"Westlake City SD, Cuyahoga",19,3,2016,
45138,3904513,"Worthington City SD, Franklin",15,1,2016,
49544,3904954,"Zane Trace Local SD, Ross",6,4,2016,
45757,3904575,"Allen East Local SD, Allen",2,5,2017,
43521,3904352,"Athens City SD, Athens",12,10,2017,
48298,3904829,"Austintown Local SD, Mahoning",9,6,2017,
43570,3904357,"Bellaire Local SD, Belmont",5,3,2017,
48306,3904830,"Boardman Local SD, Mahoning",10,4,2017,
43919,3904391,"East Liverpool City SD, Columbiana",20,9,2017,
49841,3904984,"Fairless Local SD, Stark",11,4,2017,
48157,3904815,"Firelands Local SD, Lorain",8,3,2017,
50286,3905028,"Indian Valley Local SD, Tuscarawas",10,4,2017,
49437,3904943,"Lexington Local SD, Richland",13,10,2017,
48009,3904800,"Licking Heights Local SD, Licking",5,9,2017,
45484,3904548,"Mechanicsburg Ex Vill SD, Champaign",27,7,2017,
48629,3904862,"Miami East Local SD, Miami",24,10,2017,
45518,3904551,"Milton-Union Ex Vill SD, Miami",23,5,2017,
49718,3904971,"New Riegel Local SD, Seneca",16,8,2017,
50047,3905004,"Nordonia Hills City SD, Summit",10,4,2017,
48033,3904803,"Northridge Local SD, Licking",31,8,2017,
45781,3904578,"Perry Local SD, Allen",22,8,2017,
50054,3905005,"Revere Local SD, Summit",10,4,2017,
49940,3904994,"Sandy Valley Local SD, Stark",23,2,2017,
44859,3904485,"Struthers City SD, Mahoning",7,9,2017,
44883,3904488,"Tallmadge City SD, Summit",12,4,2017,
44917,3904491,"Toronto City SD, Jefferson",10,3,2017,
50500,3910018,"Warren Local SD, Washington",12,4,2017,
45039,3904503,"Wellsville Local SD, Columbiana",18,4,2017,
48389,3904838,"West Branch Local SD, Mahoning",6,11,2017,
45161,3904516,"Youngstown City SD, Mahoning",13,1,2017,
43588,3904358,"Bellefontaine City SD, Logan",18,9,2018,
48074,3904807,"Benjamin Logan Local SD, Logan",13,9,2018,
48678,3904867,"Brookville Local SD, Montgomery",17,1,2018,
50328,3905032,"Fairbanks Local SD, Union",2,1,2018,
47332,3904733,"Finneytown Local SD, Hamilton",6,2,2018,
50492,3905049,"Frontier Local SD, Washington",8,8,2018,
50278,3905027,"Garaway Local SD, Tuscarawas",7,11,2018,
48942,3904894,"Genoa Area Local SD, Ottawa",16,10,2018,
50161,3905016,"Howland Local SD, Trumbull",22,1,2018,
48322,3904832,"Jackson-Milton Local SD, Mahoning",7,8,2018,
50187,3905018,"Lakeview Local SD, Trumbull",17,9,2018,
46888,3904688,"Liberty Union-Thurston Local, Fairfield",6,6,2018,
45468,3904546,"Loudonville-Perrysville Ex V, Ashland",3,6,2018,
48090,3904809,"Riverside Local SD, Logan",8,2,2018,
46144,3904614,"Ross Local SD, Butler",13,7,2018,
45799,3904579,"Shawnee Local SD, Allen",18,7,2018,
47274,3904727,"Sugarcreek Local SD, Greene",11,7,2018,
48314,3904831,"Canfield Local SD, Mahoning",1,8,2019,
47183,3904718,"Chardon Local SD, Geauga",9,5,2019,
45310,3904531,"Coldwater Ex Vill SD, Mercer",22,11,2019,
49999,3904999,"Coventry Local SD, Summit",26,6,2019,
48801,3904880,"Highland Local SD, Morrow",26,8,2019,
48256,3904825,"Jefferson Local SD, Madison",7,2,2019,
50245,3905024,"La Brae Local SD, Trumbull",15,3,2019,
50203,3905020,"Lordstown Local SD, Trumbull",10,12,2019,
44529,3904452,"North Olmsted City SD, Cuyahoga",2,12,2019,
49478,3904947,"Ontario Local SD, Richland",23,7,2019,
45997,3904599,"St Clairsville-Richland City, Belmont",17,6,2019,
50252,3905025,"Weathersfield Local SD, Trumbull",29,10,2019,
46219,3904621,"West Liberty-Salem Local SD, Champaign",28,1,2019,
43513,3904351,"Ashtabula Area City SD, Ashtabula",4,8,2020,
46383,3904638,"Blanchester Local SD, Clinton",29,6,2020,
43695,3904369,"Cambridge City SD, Guernsey",16,3,2020,
50419,3905041,"Carlisle Local SD, Warren",24,9,2020,
46516,3904651,"Colonel Crawford Local SD, Crawford",16,7,2020,
45245,3904524,"Harrison Hills City SD, Harrison",12,5,2020,
45823,3904582,"Hillsdale Local SD, Ashland",21,7,2020,
48686,3904868,"Jefferson Township Local SD, Montgomery",19,10,2020,
48264,3904826,"Jonathan Alder Local SD, Madison",8,1,2020,
45443,3910007,"Leetonia Ex Vill SD, Columbiana",10,8,2020,
46128,3904612,"Madison Local SD, Butler",3,6,2020,
49452,3904945,"Madison Local SD, Richland",15,4,2020,
50211,3905021,"Maplewood Local SD, Trumbull",13,4,2020,
50229,3905022,"McDonald Local SD, Trumbull",17,3,2020,
48538,3904853,"Southern Local SD, Meigs",3,12,2020,
50468,3905046,"Wayne Local SD, Warren",3,4,2020,
49031,3904903,"Wayne Trace Local SD, Paulding",3,4,2020,
45104,3904510,"Willoughby-Eastlake City SD, Lake",21,4,2020,
50534,3905053,"Chippewa Local SD, Wayne",29,7,2021,
47431,3904743,"Cory-Rawson Local SD, Hancock",21,7,2021,
43935,3904393,"Eaton Community Schools City, Preble",23,9,2021,
44057,3904405,"Geneva Area City SD, Ashtabula",30,6,2021,
49445,3904944,"Lucas Local SD, Richland",2,11,2021,
48348,3904834,"Poland Local SD, Mahoning",29,7,2021,
48355,3904835,"Sebring Local SD, Mahoning",9,4,2021,
50294,3905029,"Strasburg-Franklin Local SD, Tuscarawas",27,7,2021,
50070,3905007,"Twinsburg City SD, Summit",29,10,2021,
46367,3904636,"Williamsburg Local SD, Clermont",29,4,2021,
46631,3904663,"Arcanum Butler Local SD, Darke",19,4,2022,
49494,3904949,"Adena Local SD, Ross",14,3,2012,
43489,3904348,"Akron City SD, Summit",25,9,2009,
45195,3904519,"Amherst Ex Vill SD, Lorain",9,9,2010,
48207,3904820,"Anthony Wayne Local SD, Lucas",8,5,2011,
47043,3904704,"Archbold-Area Local SD, Fulton",15,11,2009,
47423,3904742,"Arlington Local SD, Hancock",23,4,2021,
45203,3904520,"Barnesville Ex Vill SD, Belmont",29,12,2016,
43547,3904354,"Bay Village City SD, Cuyahoga",2,8,2010,
46318,3904631,"Bethel-Tate Local SD, Clermont",12,3,2020,
45229,3904522,"Bradford Ex Vill SD, Miami",31,3,2020,
43679,3904367,"Bryan City SD, Williams",7,11,2012,
46508,3904650,"Buckeye Central Local SD, Crawford",21,9,2014,
48470,3904847,"Buckeye Local SD, Medina",20,10,2010,
43687,3904368,"Bucyrus City SD, Crawford",8,9,2009,
45252,3904525,"Caldwell Ex Vill SD, Noble",4,8,2021,
43711,3904371,"Canton City SD, Stark",19,8,2013,
49833,3904983,"Canton Local SD, Stark",22,12,2015,
48793,3904879,"Cardington-Lincoln Local SD, Morrow",0,0,0,
45278,3904527,"Carrollton Ex Vill SD, Carroll",1,8,2017,
47829,3904782,"Centerburg Local SD, Knox",14,8,2013,
45286,3904528,"Chagrin Falls Ex Vill SD, Cuyahoga",18,8,2012,
45294,3904529,"Chesapeake Union Ex Vill SD, Lawrence",20,9,2018,
43760,3904376,"Circleville City SD, Pickaway",8,8,2017,
49601,3910026,"Clay Local SD, Scioto",28,2,2011,
49411,3904941,"Clear Fork Valley Local SD, Richland",22,12,2022,
46326,3904632,"Clermont-Northeastern Local, Clermont",20,3,2013,
64964,3906496,"College Corner Local SD, Preble",0,0,0,
45328,3904532,"Columbiana Ex Vill SD, Columbiana",23,3,2012,
43802,3904380,"Columbus City SD, Franklin",16,3,2011,
49981,3904998,"Copley-Fairlawn City SD, Summit",22,9,2011,
49429,3904942,"Crestview Local SD, Richland",10,8,2009,
45351,3904535,"Crooksville Ex Vill SD, Perry",15,10,2010,
46557,3904655,"Cuyahoga Heights Local SD, Cuyahoga",0,0,0,
47928,3904792,"Dawson-Bryant Local SD, Lawrence",23,1,2018,
43844,3904384,"Dayton City SD, Montgomery",19,10,2010,
43851,3904385,"Deer Park Community City SD, Hamilton",5,2,2014,
43901,3904390,"East Cleveland City SD, Cuyahoga",0,0,0,
69682,3906968,"East Guernsey Local SD, Guernsey",2,11,2018,
46037,3904603,"Eastern Local SD, Brown",17,11,2011,
48512,3904851,"Eastern Local SD, Meigs",14,4,2020,
49122,3904912,"Eastern Local SD, Pike",11,3,2010,
50617,3905061,"Edgerton Local SD, Williams",7,8,2018,
48413,3904841,"Elgin Local SD, Marion",5,11,2012,
43968,3904396,"Fairborn City SD, Greene",15,9,2015,
46870,3904687,"Fairfield Union Local SD, Fairfield",12,10,2010,
47936,3904793,"Fairland Local SD, Lawrence",20,10,2010,
46045,3904604,"Fayetteville-Perry Local SD, Brown",15,7,2016,
45914,3904591,"Federal Hocking Local SD, Athens",22,8,2012,
46334,3904633,"Felicity-Franklin Local SD, Clermont",21,4,2011,
50484,3905048,"Fort Frye Local SD, Washington",7,10,2015,
48595,3904859,"Fort Recovery Local SD, Mercer",22,1,2010,
47852,3904785,"Fredericktown Local SD, Knox",3,7,2017,
65680,3906568,"Gallia County Local SD, Gallia",29,7,2014,
44032,3904403,"Gallipolis City SD, Gallia",20,9,2016,
44065,3904406,"Girard City SD, Trumbull",18,10,2021,
13930,3901535,"Global Impact Stem Academy, Clark",27,3,2013,
45401,3904540,"Greenfield Ex Vill SD, Highland",4,6,2018,
44107,3904410,"Hamilton City SD, Butler",5,10,2012,
46953,3904695,"Hamilton Local SD, Franklin",13,2,2012,
47498,3904749,"Hardin Northern Local SD, Hardin",30,4,2014,
49791,3904979,"Hardin-Houston Local SD, Shelby",11,4,2017,
47019,3904701,"Hilliard City SD, Franklin",9,7,2010,
44123,3904412,"Hillsboro City SD, Highland",14,8,2014,
49502,3904950,"Huntington Local SD, Ross",18,7,2017,
45435,3904543,"Indian Hill Ex Vill SD, Hamilton",3,1,2014,
44149,3904414,"Ironton City SD, Lawrence",3,9,2013,
15329,3901575,"Istem Geauga Early College HS, Lake",9,2,2015,
44156,3904415,"Jackson City SD, Jackson",15,5,2020,
49346,3904934,"Kalida Local SD, Putnam",19,2,2013,
46797,3904679,"Kelly's Island Local SD, Erie",29,7,2020,
44164,3904416,"Kent City SD, Portage",3,1,2019,
44172,3910025,"Kenton City SD, Hardin",26,2,2010,
44198,3904419,"Lakewood City SD, Cuyahoga",19,7,2010,
46110,3904611,"Lakota Local SD, Butler",5,3,2010,
49569,3904956,"Lakota Local SD, Sandusky",14,6,2011,
48017,3904801,"Licking Valley Local SD, Licking",0,0,0,
44222,3904422,"Lima City SD, Allen",12,3,10,
45450,3904545,"Lisbon Ex Vill SD, Columbiana",30,1,2017,
44248,3904424,"Logan-Hocking Local SD, Hocking",10,12,2010,
48330,3904833,"Lowellville Local SD, Mahoning",14,12,2020,
47639,3904763,"Lynchburg-Clay Local SD, Highland",2,1,2013,
48702,3904870,"Mad River Local SD, Montgomery",19,12,2011,
44289,3904428,"Madeira City SD, Hamilton",23,8,2010,
442,3900537,"Manchester Local SD, Adams",19,10,2010,
44297,3904429,"Mansfield City SD, Richland",27,4,2016,
44305,3904430,"Maple Heights City SD, Cuyahoga",21,12,2015,
44339,3904433,"Marion City SD, Marion",10,4,2011,
44347,3904434,"Martins Ferry City SD, Belmont",8,4,2020,
50450,3905045,"Mason City SD, Warren",31,5,2017,
44370,3904437,"Mayfield City SD, Cuyahoga",21,9,2012,
48850,3904885,"Maysville Local SD, Muskingum",21,10,2022,
48520,3904852,"Meigs Local SD, Meigs",13,6,2011,
45492,3904549,"Mentor Ex Vill SD, Lake",21,6,2012,
14877,3901572,"Metro IT, Franklin",27,3,2010,
48959,3904895,"Middle Bass Local SD, Ottawa",0,0,0,
48173,3904817,"Midview Local SD, Lorain",26,9,2018,
49361,3904936,"Miller City-New Cleveland Lo, Putnam",15,12,2010,
49890,3904989,"Minerva Local SD, Stark",12,10,2010,
49627,3904962,"Minford Local SD, Scioto",26,1,2015,
139303,3900094,"Monroe Local SD, Butler",4,4,2010,
45526,3904552,"Montpelier Ex Vill SD, Williams",1,3,2011,
48777,3904877,"Morgan Local SD, Morgan",28,11,2012,
44412,3904441,"Mount Healthy City SD, Hamilton",29,4,2013,
44446,3904444,"Nelsonville-York City SD, Athens",3,6,2018,
44461,3904446,"New Boston Local SD, Scioto",26,9,2019,
45963,3904596,"New Knoxville Local SD, Auglaize",19,5,2020,
46136,3904613,"New Miami Local SD, Butler",0,0,0,
45559,3904555,"New Richmond Ex Vill SD, Clermont",14,10,2010,
48900,3904890,"Noble Local SD, Noble",30,6,2011,
48967,3904896,"North Bass Local SD, Ottawa",0,0,0,
44511,3904451,"North College Hill City SD, Hamilton",0,0,0,
49056,3904905,"Northern Local SD, Perry",15,10,2010,
48819,3904881,"Northmor Local SD, Morrow",19,8,2010,
44578,3904457,"Norwood City SD, Hamilton",3,3,2016,
47761,3904776,"Oak Hill Union Local SD, Jackson",30,3,2020,
61903,3906190,"Ohio Valley Local SD, Adams",0,0,0,
46763,3904676,"Olentangy Local SD, Delaware",11,11,2010,
50724,3905072,"Otsego Local SD, Wood",27,3,2010,
49387,3904938,"Ottoville Local SD, Putnam",9,9,2010,
47902,3904790,"Perry Local SD, Lake",0,0,0,
47076,3904707,"Pettisville Local SD, Fulton",14,6,2021,
46896,3904689,"Pickerington Local SD, Fairfield",20,10,2010,
49932,3904993,"Plain Local SD, Stark",3,8,2011,
49460,3904946,"Plymouth-Shiloh Local SD, Richland",20,11,2013,
44669,3910027,"Portsmouth City SD, Scioto",31,7,2017,
48975,3904897,"Put-In Bay Local SD, Ottawa",0,0,0,
47001,3904700,"Reynoldsburg City SD, Franklin",15,3,2015,
46474,3904647,"Ridgewood Local SD, Coshocton",12,10,2010,
47944,3904794,"Rock Hill Local SD, Lawrence",6,7,2020,
44701,3904470,"Rocky River City SD, Cuyahoga",0,0,0,
47308,3904730,"Rolling Hills Local SD, Guernsey",22,12,2012,
49130,3904913,"Scioto Valley Local SD, Pike",27,3,2020,
44792,3904479,"South Euclid-Lyndhurst City, Cuyahoga",6,11,2009,
47951,3904795,"South Point Local SD, Lawrence",10,2,2017,
49528,3904952,"Southeastern Local SD, Ross",2,9,2016,
45807,3904580,"Spencerville Local SD, Allen",2,3,2018,
44826,3904482,"Steubenville City SD, Jefferson",1,1,2021,
50658,3905065,"Stryker Local SD, Williams",22,8,2022,
47969,3904796,"Symmes Valley Local SD, Lawrence",28,3,2017,
46151,3904615,"Talawanda City SD, Butler",0,0,0,
49098,3904909,"Teays Valley Local SD, Pickaway",13,6,2014,
47399,3904739,"Three Rivers Local SD, Hamilton",14,4,2011,
15344,3901577,"Tri-State Stem Early College, Lawrence",8,1,2016,
48876,3904887,"Tri-Valley Local SD, Muskingum",27,3,2010,
46680,3904668,"Tri-Village Local SD, Darke",21,4,2020,
48694,3904869,"Trotwood-Madison City SD, Montgomery",21,4,2017,
49643,3904964,"Valley Local SD, Scioto",24,8,2012,
14943,3901565,"Valley Stem Academy, Mahoning",22,8,2016,
44966,3910023,"Van Wert City SD, Van Wert",22,2,2016,
45633,3904563,"Versailles Ex Vill SD, Darke",0,0,0,
50393,3905039,"Vinton County Local SD, Vinton",3,9,2009,
44974,3910029,"Wadsworth City SD, Medina",14,10,2010,
44990,3904499,"Warren City SD, Trumbull",0,0,0,
49650,3904965,"Washington-Nile Local SD, Scioto",0,0,0,
49148,3904914,"Waverly City SD, Pike",10,8,2015,
45021,3904502,"Wellston City SD, Jackson",18,5,2016,
46359,3904635,"West Clermont Local SD, Clermont",13,8,2011,
49155,3904915,"Western Local SD, Pike",0,0,0,
47746,3904774,"Western Reserve Local SD, Huron",25,6,2010,
49106,3904910,"Westfall Local SD, Pickaway",10,12,2019,
49668,3904966,"Wheelersburg Local SD, Scioto",13,9,2016,
45112,3904511,"Wilmington City SD, Clinton",3,10,2015,
50518,3905051,"Wolf Creek Local SD, Washington",11,6,2016,
45120,3910032,"Wooster City SD, Wayne",30,3,2011,
45146,3904514,"Wyoming City SD, Hamilton",23,9,2014,
